Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2018,Adams,WA,Truck,0,0,0,"5,146","5,146",0.00
January 31 2018,Adams,WA,Passenger,4,4,8,"12,446","12,454",0.06
January 31 2018,Asotin,WA,Passenger,8,5,13,"12,549","12,562",0.10
January 31 2018,Asotin,WA,Truck,0,0,0,"6,561","6,561",0.00
January 31 2018,Benton,WA,Truck,0,0,0,"40,718","40,718",0.00
January 31 2018,Benton,WA,Passenger,175,178,353,"130,634","130,987",0.27
January 31 2018,Chelan,WA,Passenger,94,38,132,"53,244","53,376",0.25
January 31 2018,Chelan,WA,Truck,0,0,0,"21,680","21,680",0.00
January 31 2018,Clallam,WA,Truck,0,0,0,"21,283","21,283",0.00
January 31 2018,Clallam,WA,Passenger,106,95,201,"49,285","49,486",0.41
January 31 2018,Clark,WA,Passenger,873,601,"1,474","305,327","306,801",0.48
January 31 2018,Clark,WA,Truck,0,0,0,"78,585","78,585",0.00
January 31 2018,Columbia,WA,Truck,0,0,0,"1,545","1,545",0.00
January 31 2018,Columbia,WA,Passenger,2,1,3,"2,401","2,404",0.12
January 31 2018,Cowlitz,WA,Passenger,54,69,123,"70,984","71,107",0.17
January 31 2018,Cowlitz,WA,Truck,0,0,0,"28,212","28,212",0.00
January 31 2018,Douglas,WA,Truck,0,0,0,"11,789","11,789",0.00
January 31 2018,Douglas,WA,Passenger,43,33,76,"27,221","27,297",0.28
January 31 2018,Ferry,WA,Passenger,1,3,4,"4,410","4,414",0.09
January 31 2018,Ferry,WA,Truck,0,0,0,"3,544","3,544",0.00
January 31 2018,Franklin,WA,Truck,0,0,0,"18,562","18,562",0.00
January 31 2018,Franklin,WA,Passenger,31,51,82,"57,019","57,101",0.14
January 31 2018,Garfield,WA,Truck,0,0,0,945,945,0.00
January 31 2018,Garfield,WA,Passenger,1,0,1,"1,329","1,330",0.08
January 31 2018,Grant,WA,Passenger,29,37,66,"62,304","62,370",0.11
January 31 2018,Grant,WA,Truck,0,0,0,"25,642","25,642",0.00
January 31 2018,Grays Harbor,WA,Passenger,42,42,84,"45,968","46,052",0.18
January 31 2018,Grays Harbor,WA,Truck,0,0,0,"20,084","20,084",0.00
January 31 2018,Island,WA,Passenger,159,167,326,"61,854","62,180",0.52
January 31 2018,Island,WA,Truck,0,0,0,"20,786","20,786",0.00
January 31 2018,Jefferson,WA,Truck,0,0,0,"9,488","9,488",0.00
January 31 2018,Jefferson,WA,Passenger,124,80,204,"24,362","24,566",0.83
January 31 2018,King,WA,Passenger,"11,618","4,885","16,503","1,371,223","1,387,726",1.19
January 31 2018,King,WA,Truck,8,1,9,"184,860","184,869",0.00
January 31 2018,Kitsap,WA,Truck,1,0,1,"52,770","52,771",0.00
January 31 2018,Kitsap,WA,Passenger,706,404,"1,110","176,446","177,556",0.63
January 31 2018,Kittitas,WA,Truck,0,0,0,"13,875","13,875",0.00
January 31 2018,Kittitas,WA,Passenger,36,27,63,"28,637","28,700",0.22
January 31 2018,Klickitat,WA,Passenger,23,26,49,"14,933","14,982",0.33
January 31 2018,Klickitat,WA,Truck,0,0,0,"8,001","8,001",0.00
January 31 2018,Lewis,WA,Truck,0,0,0,"25,331","25,331",0.00
January 31 2018,Lewis,WA,Passenger,52,43,95,"56,814","56,909",0.17
January 31 2018,Lincoln,WA,Truck,0,0,0,"4,504","4,504",0.00
January 31 2018,Lincoln,WA,Passenger,2,5,7,"7,590","7,597",0.09
January 31 2018,Mason,WA,Truck,0,0,0,"19,648","19,648",0.00
January 31 2018,Mason,WA,Passenger,65,74,139,"44,970","45,109",0.31
January 31 2018,Okanogan,WA,Passenger,7,19,26,"25,708","25,734",0.10
January 31 2018,Okanogan,WA,Truck,0,0,0,"16,337","16,337",0.00
January 31 2018,Pacific,WA,Truck,0,0,0,"7,533","7,533",0.00
January 31 2018,Pacific,WA,Passenger,15,13,28,"15,454","15,482",0.18
January 31 2018,Pend Oreille,WA,Passenger,4,4,8,"9,444","9,452",0.08
January 31 2018,Pend Oreille,WA,Truck,0,0,0,"5,615","5,615",0.00
January 31 2018,Pierce,WA,Passenger,"1,096",994,"2,090","527,557","529,647",0.39
January 31 2018,Pierce,WA,Truck,0,0,0,"137,169","137,169",0.00
January 31 2018,San Juan,WA,Truck,0,0,0,"5,647","5,647",0.00
January 31 2018,San Juan,WA,Passenger,137,46,183,"13,926","14,109",1.30
January 31 2018,Skagit,WA,Passenger,170,140,310,"89,802","90,112",0.34
January 31 2018,Skagit,WA,Truck,1,0,1,"31,845","31,846",0.00
January 31 2018,Skamania,WA,Truck,0,0,0,"3,899","3,899",0.00
January 31 2018,Skamania,WA,Passenger,11,8,19,"8,611","8,630",0.22
January 31 2018,Snohomish,WA,Truck,1,0,1,"121,561","121,562",0.00
January 31 2018,Snohomish,WA,Passenger,"2,072","1,097","3,169","518,165","521,334",0.61
January 31 2018,Spokane,WA,Passenger,300,254,554,"300,850","301,404",0.18
January 31 2018,Spokane,WA,Truck,1,0,1,"91,762","91,763",0.00
January 31 2018,Stevens,WA,Passenger,10,22,32,"31,595","31,627",0.10
January 31 2018,Stevens,WA,Truck,0,0,0,"18,384","18,384",0.00
January 31 2018,Thurston,WA,Passenger,487,407,894,"190,710","191,604",0.47
January 31 2018,Thurston,WA,Truck,0,0,0,"53,898","53,898",0.00
January 31 2018,Wahkiakum,WA,Truck,0,0,0,"1,682","1,682",0.00
January 31 2018,Wahkiakum,WA,Passenger,0,2,2,"2,845","2,847",0.07
January 31 2018,Walla Walla,WA,Truck,0,0,0,"13,324","13,324",0.00
January 31 2018,Walla Walla,WA,Passenger,30,33,63,"35,390","35,453",0.18
January 31 2018,Whatcom,WA,Passenger,550,238,788,"145,531","146,319",0.54
January 31 2018,Whatcom,WA,Truck,1,0,1,"42,071","42,072",0.00
January 31 2018,Whitman,WA,Truck,0,0,0,"8,473","8,473",0.00
January 31 2018,Whitman,WA,Passenger,18,20,38,"22,491","22,529",0.17
January 31 2018,Yakima,WA,Truck,0,0,0,"58,107","58,107",0.00
January 31 2018,Yakima,WA,Passenger,60,76,136,"162,529","162,665",0.08
February 28 2018,Adams,WA,Truck,0,0,0,"5,137","5,137",0.00
February 28 2018,Adams,WA,Passenger,5,4,9,"12,461","12,470",0.07
February 28 2018,Asotin,WA,Truck,0,0,0,"6,582","6,582",0.00
February 28 2018,Asotin,WA,Passenger,8,5,13,"12,589","12,602",0.10
February 28 2018,Benton,WA,Truck,0,0,0,"40,762","40,762",0.00
February 28 2018,Benton,WA,Passenger,175,178,353,"130,466","130,819",0.27
February 28 2018,Chelan,WA,Truck,0,0,0,"21,674","21,674",0.00
February 28 2018,Chelan,WA,Passenger,94,39,133,"53,248","53,381",0.25
February 28 2018,Clallam,WA,Truck,0,0,0,"21,293","21,293",0.00
February 28 2018,Clallam,WA,Passenger,109,101,210,"49,362","49,572",0.42
February 28 2018,Clark,WA,Truck,0,0,0,"78,577","78,577",0.00
February 28 2018,Clark,WA,Passenger,888,618,"1,506","305,332","306,838",0.49
February 28 2018,Columbia,WA,Truck,0,0,0,"1,536","1,536",0.00
February 28 2018,Columbia,WA,Passenger,2,1,3,"2,407","2,410",0.12
February 28 2018,Cowlitz,WA,Passenger,54,70,124,"70,950","71,074",0.17
February 28 2018,Cowlitz,WA,Truck,0,0,0,"28,195","28,195",0.00
February 28 2018,Douglas,WA,Truck,0,0,0,"11,811","11,811",0.00
February 28 2018,Douglas,WA,Passenger,43,33,76,"27,313","27,389",0.28
February 28 2018,Ferry,WA,Passenger,1,3,4,"4,398","4,402",0.09
February 28 2018,Ferry,WA,Truck,0,0,0,"3,527","3,527",0.00
February 28 2018,Franklin,WA,Truck,0,0,0,"18,576","18,576",0.00
February 28 2018,Franklin,WA,Passenger,32,51,83,"57,016","57,099",0.15
February 28 2018,Garfield,WA,Passenger,1,0,1,"1,323","1,324",0.08
February 28 2018,Garfield,WA,Truck,0,0,0,943,943,0.00
February 28 2018,Grant,WA,Truck,0,0,0,"25,680","25,680",0.00
February 28 2018,Grant,WA,Passenger,31,38,69,"62,332","62,401",0.11
February 28 2018,Grays Harbor,WA,Truck,0,0,0,"20,110","20,110",0.00
February 28 2018,Grays Harbor,WA,Passenger,42,44,86,"45,888","45,974",0.19
February 28 2018,Island,WA,Passenger,165,171,336,"61,890","62,226",0.54
February 28 2018,Island,WA,Truck,0,0,0,"20,827","20,827",0.00
February 28 2018,Jefferson,WA,Truck,0,0,0,"9,513","9,513",0.00
February 28 2018,Jefferson,WA,Passenger,127,80,207,"24,320","24,527",0.84
February 28 2018,King,WA,Passenger,"11,759","5,026","16,785","1,368,640","1,385,425",1.21
February 28 2018,King,WA,Truck,8,1,9,"184,144","184,153",0.00
February 28 2018,Kitsap,WA,Passenger,716,420,"1,136","176,417","177,553",0.64
February 28 2018,Kitsap,WA,Truck,1,0,1,"52,852","52,853",0.00
February 28 2018,Kittitas,WA,Passenger,36,27,63,"28,689","28,752",0.22
February 28 2018,Kittitas,WA,Truck,0,0,0,"13,945","13,945",0.00
February 28 2018,Klickitat,WA,Truck,0,0,0,"8,040","8,040",0.00
February 28 2018,Klickitat,WA,Passenger,24,27,51,"14,944","14,995",0.34
February 28 2018,Lewis,WA,Passenger,52,45,97,"56,867","56,964",0.17
February 28 2018,Lewis,WA,Truck,0,0,0,"25,274","25,274",0.00
February 28 2018,Lincoln,WA,Truck,0,0,0,"4,511","4,511",0.00
February 28 2018,Lincoln,WA,Passenger,2,5,7,"7,596","7,603",0.09
February 28 2018,Mason,WA,Passenger,64,77,141,"45,045","45,186",0.31
February 28 2018,Mason,WA,Truck,0,0,0,"19,728","19,728",0.00
February 28 2018,Okanogan,WA,Passenger,7,19,26,"25,667","25,693",0.10
February 28 2018,Okanogan,WA,Truck,0,0,0,"16,308","16,308",0.00
February 28 2018,Pacific,WA,Truck,0,0,0,"7,560","7,560",0.00
February 28 2018,Pacific,WA,Passenger,15,17,32,"15,463","15,495",0.21
February 28 2018,Pend Oreille,WA,Truck,0,0,0,"5,628","5,628",0.00
February 28 2018,Pend Oreille,WA,Passenger,4,3,7,"9,422","9,429",0.07
February 28 2018,Pierce,WA,Passenger,"1,117","1,026","2,143","526,553","528,696",0.41
February 28 2018,Pierce,WA,Truck,0,0,0,"137,038","137,038",0.00
February 28 2018,San Juan,WA,Truck,0,0,0,"5,643","5,643",0.00
February 28 2018,San Juan,WA,Passenger,140,48,188,"13,921","14,109",1.33
February 28 2018,Skagit,WA,Passenger,172,145,317,"89,770","90,087",0.35
February 28 2018,Skagit,WA,Truck,1,0,1,"31,821","31,822",0.00
